,year_make,model_trim,price,state,miles,source,type
413,2018 BMW ,missing,29999,missing,12115.0,sonic,sedan
414,2018 BMW ,missing,26999,missing,37823.0,sonic,sedan
415,2018 BMW ,missing,32798,missing,13797.0,sonic,sedan
416,2018 BMW ,missing,27496,missing,26219.0,sonic,sedan
417,2018 BMW ,missing,26999,missing,27349.0,sonic,sedan
418,2018 BMW ,missing,32999,missing,39185.0,sonic,sedan
419,2018 BMW ,missing,31999,missing,14099.0,sonic,sedan
420,2018 BMW ,missing,30999,missing,19378.0,sonic,sedan
421,2018 BMW ,missing,29999,missing,15501.0,sonic,sedan
422,2018 BMW ,missing,29596,missing,3029.0,sonic,sedan
423,2018 BMW ,missing,27997,missing,13555.0,sonic,sedan
424,2018 BMW ,missing,27487,missing,51949.0,sonic,sedan
425,2018 BMW ,missing,23996,missing,44144.0,sonic,sedan
426,2018 BMW ,missing,27696,missing,21909.0,sonic,sedan
427,2018 BMW ,missing,27497,missing,26983.0,sonic,sedan
428,2018 BMW ,missing,29696,missing,11913.0,sonic,sedan
429,2018 BMW ,missing,28498,missing,41117.0,sonic,sedan
430,2018 BMW ,missing,23498,missing,61366.0,sonic,sedan
431,2018 BMW ,missing,29598,missing,24219.0,sonic,sedan
432,2018 BMW ,missing,29498,missing,32629.0,sonic,sedan
433,2018 BMW ,missing,27698,missing,26158.0,sonic,sedan
434,2018 BMW ,missing,27498,missing,34549.0,sonic,sedan
