,year_make,model_trim,price,state,miles,source
244,2021 BMW ,missing,43641,missing,15.0,sonic
245,2021 BMW ,missing,43641,missing,2.0,sonic
246,2021 BMW ,missing,38731,missing,2100.0,sonic
247,2021 BMW ,missing,38891,missing,2100.0,sonic
248,2021 BMW ,missing,37690,missing,2100.0,sonic
249,2021 BMW ,missing,41131,missing,2100.0,sonic
250,2021 BMW ,missing,39531,missing,2100.0,sonic
251,2021 BMW ,missing,42911,missing,5.0,sonic
252,2021 BMW ,missing,39951,missing,6.0,sonic
253,2020 BMW ,missing,33999,missing,10857.0,sonic
254,2020 BMW ,missing,35796,missing,3339.0,sonic
255,2019 BMW ,missing,30999,missing,35158.0,sonic
256,2019 BMW ,missing,29195,missing,32776.0,sonic
257,2019 BMW ,missing,34899,missing,8694.0,sonic
258,2018 BMW ,missing,24999,missing,42154.0,sonic
259,2018 BMW ,missing,30798,missing,28469.0,sonic
260,2018 BMW ,missing,20999,missing,104532.0,sonic
261,2018 BMW ,missing,25999,missing,30365.0,sonic
262,2018 BMW ,missing,23999,missing,37747.0,sonic
263,2018 BMW ,missing,23996,missing,45888.0,sonic
264,2018 BMW ,missing,29999,missing,12904.0,sonic
265,2018 BMW ,missing,28999,missing,30698.0,sonic
266,2018 BMW ,missing,30697,missing,23945.0,sonic
267,2018 BMW ,missing,28498,missing,23537.0,sonic
268,2018 BMW ,missing,28998,missing,13418.0,sonic
269,2018 BMW ,missing,24776,missing,34080.0,sonic
270,2018 BMW ,missing,25999,missing,31666.0,sonic
271,2018 BMW ,missing,24499,missing,49998.0,sonic
272,2018 BMW ,missing,28999,missing,30935.0,sonic
273,2018 BMW ,missing,23499,missing,48300.0,sonic
274,2017 BMW ,missing,24999,missing,48778.0,sonic
275,2017 BMW ,missing,Please Call,missing,79932.0,sonic
276,2017 BMW ,missing,27798,missing,37419.0,sonic
277,2021 BMW ,missing,41802,missing,12.0,sonic
278,2021 BMW ,missing,42132,missing,7.0,sonic
279,2021 BMW ,missing,39992,missing,7.0,sonic
280,2021 BMW ,missing,43133,missing,7.0,sonic
281,2021 BMW ,missing,40093,missing,7.0,sonic
282,2021 BMW ,missing,40853,missing,6.0,sonic
283,2021 BMW ,missing,40743,missing,8.0,sonic
284,2021 BMW ,missing,Please Call,missing,3575.0,sonic
285,2021 BMW ,missing,40093,missing,6.0,sonic
286,2021 BMW ,missing,40731,missing,2100.0,sonic
287,2021 BMW ,missing,39993,missing,7.0,sonic
288,2021 BMW ,missing,40743,missing,9.0,sonic
289,2018 BMW ,missing,26899,missing,41662.0,sonic
290,2018 BMW ,missing,28996,missing,32281.0,sonic
291,2018 BMW ,missing,29999,missing,18836.0,sonic
292,2018 BMW ,missing,26996,missing,29117.0,sonic
293,2018 BMW ,missing,29498,missing,42201.0,sonic
294,2018 BMW ,missing,27498,missing,33285.0,sonic
295,2018 BMW ,missing,27488,missing,30253.0,sonic
296,2018 BMW ,missing,27698,missing,21735.0,sonic
297,2018 BMW ,missing,29698,missing,34724.0,sonic
298,2018 BMW ,missing,26498,missing,46206.0,sonic
299,2018 BMW ,missing,31698,missing,34051.0,sonic
300,2018 BMW ,missing,30999,missing,20157.0,sonic
301,2018 BMW ,missing,26996,missing,25094.0,sonic
302,2018 BMW ,missing,28999,missing,31625.0,sonic
303,2017 BMW ,missing,23998,missing,49266.0,sonic
304,2017 BMW ,missing,24996,missing,29512.0,sonic
305,2016 BMW ,missing,23799,missing,48667.0,sonic
306,2016 BMW ,missing,19999,missing,70552.0,sonic
307,2016 BMW ,missing,24999,missing,35185.0,sonic
308,2016 BMW ,missing,24796,missing,18698.0,sonic
309,2016 BMW ,missing,24198,missing,47817.0,sonic
310,2015 BMW ,missing,18397,missing,47479.0,sonic
311,2018 BMW ,missing,29999,missing,19549.0,sonic
312,2018 BMW ,missing,30608,missing,43464.0,sonic
313,2018 BMW ,missing,26999,missing,40356.0,sonic
314,2018 BMW ,missing,27108,missing,34626.0,sonic
315,2018 BMW ,missing,26999,missing,45321.0,sonic
316,2018 BMW ,missing,29999,missing,12631.0,sonic
317,2018 BMW ,missing,31997,missing,22840.0,sonic
318,2018 BMW ,missing,Please Call,missing,26882.0,sonic
319,2018 BMW ,missing,28999,missing,21695.0,sonic
320,2018 BMW ,missing,32397,missing,32481.0,sonic
321,2018 BMW ,missing,32998,missing,24169.0,sonic
322,2018 BMW ,missing,29397,missing,41172.0,sonic
323,2018 BMW ,missing,28496,missing,24210.0,sonic
324,2017 BMW ,missing,22397,missing,74764.0,sonic
325,2017 BMW ,missing,25608,missing,43068.0,sonic
326,2015 BMW ,missing,19398,missing,58815.0,sonic
327,2018 BMW ,missing,27999,missing,17697.0,sonic
328,2014 BMW ,missing,18298,missing,53166.0,sonic
329,2013 BMW ,missing,15798,missing,72159.0,sonic
330,2021 BMW ,missing,35182,missing,6295.0,sonic
331,2021 BMW ,missing,37734,missing,5823.0,sonic
332,2018 BMW ,missing,29498,missing,25941.0,sonic
333,2014 BMW ,missing,12999,missing,147988.0,sonic
334,2013 BMW ,missing,16798,missing,60734.0,sonic
335,2022 BMW ,missing,43269,missing,5.0,sonic
336,2022 BMW ,missing,41990,missing,6.0,sonic
337,2022 BMW ,missing,45620,missing,13.0,sonic
338,2022 BMW ,missing,43794,missing,9.0,sonic
339,2022 BMW ,missing,42041,missing,5.0,sonic
340,2022 BMW ,missing,40511,missing,10.0,sonic
341,2022 BMW ,missing,40511,missing,10.0,sonic
342,2022 BMW ,missing,42310,missing,646.0,sonic
343,2022 BMW ,missing,44444,missing,5.0,sonic
344,2022 BMW ,missing,41691,missing,5.0,sonic
345,2022 BMW ,missing,41931,missing,7.0,sonic
346,2022 BMW ,missing,40461,missing,6.0,sonic
347,2022 BMW ,missing,40340,missing,6.0,sonic
348,2022 BMW ,missing,43031,missing,13.0,sonic
349,2022 BMW ,missing,45719,missing,8.0,sonic
350,2022 BMW ,missing,39398,missing,2062.0,sonic
351,2022 BMW ,missing,37571,missing,1970.0,sonic
352,2018 BMW ,missing,34999,missing,18663.0,sonic
353,2021 BMW ,missing,38823,missing,5967.0,sonic
354,2021 BMW ,missing,39984,missing,9990.0,sonic
355,2021 BMW ,missing,42493,missing,6091.0,sonic
356,2021 BMW ,missing,41744,missing,5541.0,sonic
357,2021 BMW ,missing,61600,missing,3781.0,sonic
358,2021 BMW ,missing,60981,missing,8620.0,sonic
359,2020 BMW ,missing,50999,missing,13710.0,sonic
360,2019 BMW ,missing,43999,missing,49013.0,sonic
361,2019 BMW ,missing,49196,missing,29387.0,sonic
362,2018 BMW ,missing,43499,missing,40309.0,sonic
363,2018 BMW ,missing,43999,missing,29487.0,sonic
364,2018 BMW ,missing,46798,missing,23694.0,sonic
365,2018 BMW ,missing,42998,missing,48293.0,sonic
366,2018 BMW ,missing,42997,missing,31834.0,sonic
367,2018 BMW ,missing,45198,missing,24553.0,sonic
368,2017 BMW ,missing,27599,missing,32046.0,sonic
369,2021 BMW ,missing,43086,missing,4589.0,sonic
370,2021 BMW ,missing,46850,missing,2100.0,sonic
371,2021 BMW ,missing,50744,missing,5172.0,sonic
372,2021 BMW ,missing,46644,missing,5942.0,sonic
373,2021 BMW ,missing,45540,missing,2100.0,sonic
374,2021 BMW ,missing,43600,missing,1500.0,sonic
375,2021 BMW ,missing,45941,missing,4.0,sonic
376,2021 BMW ,missing,43191,missing,6703.0,sonic
377,2021 BMW ,missing,46911,missing,4.0,sonic
378,2021 BMW ,missing,45344,missing,8323.0,sonic
379,2021 BMW ,missing,43891,missing,5651.0,sonic
380,2021 BMW ,missing,44386,missing,5514.0,sonic
381,2021 BMW ,missing,46041,missing,2.0,sonic
382,2021 BMW ,missing,45130,missing,2100.0,sonic
383,2021 BMW ,missing,47523,missing,5.0,sonic
384,2021 BMW ,missing,42981,missing,5800.0,sonic
385,2021 BMW ,missing,46971,missing,3.0,sonic
386,2021 BMW ,missing,48919,missing,8.0,sonic
387,2021 BMW ,missing,48600,missing,3041.0,sonic
388,2021 BMW ,missing,47301,missing,8.0,sonic
389,2021 BMW ,missing,43752,missing,2.0,sonic
390,2021 BMW ,missing,46531,missing,3.0,sonic
391,2021 BMW ,missing,44040,missing,7.0,sonic
392,2021 BMW ,missing,49911,missing,3.0,sonic
393,2021 BMW ,missing,46360,missing,481.0,sonic
394,2021 BMW ,missing,46970,missing,2100.0,sonic
395,2021 BMW ,missing,47660,missing,6.0,sonic
396,2021 BMW ,missing,45931,missing,4.0,sonic
397,2021 BMW ,missing,45381,missing,3.0,sonic
398,2021 BMW ,missing,44211,missing,2.0,sonic
399,2021 BMW ,missing,47744,missing,4857.0,sonic
400,2021 BMW ,missing,47744,missing,3956.0,sonic
401,2021 BMW ,missing,42600,missing,6750.0,sonic
402,2021 BMW ,missing,45191,missing,290.0,sonic
403,2021 BMW ,missing,46509,missing,3.0,sonic
404,2021 BMW ,missing,47660,missing,1010.0,sonic
405,2021 BMW ,missing,45481,missing,2.0,sonic
406,2021 BMW ,missing,43540,missing,2.0,sonic
407,2021 BMW ,missing,46450,missing,3.0,sonic
408,2021 BMW ,missing,44150,missing,2100.0,sonic
409,2021 BMW ,missing,47494,missing,6353.0,sonic
410,2021 BMW ,missing,47194,missing,4475.0,sonic
411,2021 BMW ,missing,49044,missing,4706.0,sonic
412,2021 BMW ,missing,47070,missing,2100.0,sonic
413,2021 BMW ,missing,46311,missing,3088.0,sonic
414,2020 BMW ,missing,40999,missing,16591.0,sonic
415,2020 BMW ,missing,42598,missing,3399.0,sonic
416,2020 BMW ,missing,35998,missing,29659.0,sonic
417,2020 BMW ,missing,40898,missing,12745.0,sonic
418,2020 BMW ,missing,42798,missing,13978.0,sonic
419,2019 BMW ,missing,36499,missing,13576.0,sonic
420,2019 BMW ,missing,34999,missing,20576.0,sonic
421,2019 BMW ,missing,36999,missing,27550.0,sonic
422,2019 BMW ,missing,34499,missing,45343.0,sonic
423,2019 BMW ,missing,35798,missing,32499.0,sonic
424,2019 BMW ,missing,33999,missing,17962.0,sonic
425,2019 BMW ,missing,36499,missing,10048.0,sonic
426,2019 BMW ,missing,36999,missing,15232.0,sonic
427,2019 BMW ,missing,34999,missing,31365.0,sonic
428,2019 BMW ,missing,31999,missing,43122.0,sonic
429,2019 BMW ,missing,37596,missing,11977.0,sonic
430,2019 BMW ,missing,35996,missing,27918.0,sonic
431,2019 BMW ,missing,31999,missing,25525.0,sonic
432,2019 BMW ,missing,36999,missing,13127.0,sonic
433,2019 BMW ,missing,35798,missing,38294.0,sonic
434,2019 BMW ,missing,37999,missing,17094.0,sonic
435,2019 BMW ,missing,34999,missing,38104.0,sonic
436,2019 BMW ,missing,33999,missing,26836.0,sonic
437,2019 BMW ,missing,35196,missing,29547.0,sonic
438,2019 BMW ,missing,36898,missing,21777.0,sonic
439,2019 BMW ,missing,29998,missing,45240.0,sonic
440,2019 BMW ,missing,35498,missing,18420.0,sonic
441,2019 BMW ,missing,34298,missing,30268.0,sonic
442,2019 BMW ,missing,36787,missing,25931.0,sonic
443,2019 BMW ,missing,34798,missing,47489.0,sonic
444,2019 BMW ,missing,34698,missing,19587.0,sonic
445,2019 BMW ,missing,32996,missing,30013.0,sonic
446,2019 BMW ,missing,35996,missing,15776.0,sonic
447,2019 BMW ,missing,35198,missing,35387.0,sonic
448,2019 BMW ,missing,35999,missing,23534.0,sonic
449,2015 BMW ,missing,19998,missing,81048.0,sonic
450,2017 BMW ,missing,28298,missing,52500.0,sonic
451,2016 BMW ,missing,21999,missing,69617.0,sonic
452,2016 BMW ,missing,22999,missing,59895.0,sonic
453,2021 BMW ,missing,50600,missing,1215.0,sonic
454,2021 BMW ,missing,47999,missing,8783.0,sonic
455,2021 BMW ,missing,45600,missing,1125.0,sonic
456,2021 BMW ,missing,45950,missing,2100.0,sonic
457,2021 BMW ,missing,46942,missing,5.0,sonic
458,2021 BMW ,missing,49600,missing,1372.0,sonic
459,2021 BMW ,missing,50933,missing,8.0,sonic
460,2021 BMW ,missing,44600,missing,2868.0,sonic
461,2021 BMW ,missing,46633,missing,2.0,sonic
462,2021 BMW ,missing,47172,missing,2.0,sonic
463,2021 BMW ,missing,47571,missing,4.0,sonic
464,2021 BMW ,missing,47981,missing,1199.0,sonic
465,2021 BMW ,missing,45841,missing,2.0,sonic
466,2021 BMW ,missing,48231,missing,2.0,sonic
467,2020 BMW ,missing,42999,missing,16010.0,sonic
468,2020 BMW ,missing,42999,missing,9001.0,sonic
