,year_make,model_trim,price,state,miles,source
221, 2018 Audi Q5, 2.0 TFSI Premium Plus ,35999,TX,26000.0,autonation
222, 2018 Audi Q5, 2.0 TFSI Premium Plus ,33993,TX,44000.0,autonation
223, 2017 Audi Q7, 2.0 TFSI Premium ,34991,TX,61000.0,autonation
224, 2020 Audi Q3, S line Premium 45 TFSI quattro ,35991,TX,13000.0,autonation
225, 2015 Audi Q5, quattro 4dr 3.0T Premium Plus ,24991,TX,62000.0,autonation
226, 2014 Audi Q5, quattro 4dr 2.0T Premium Plus ,18551,TX,88000.0,autonation
227, 2019 Audi Q8, Premium 55 TFSI quattro ,59991,TX,22000.0,autonation
228, 2019 Audi Q7, Premium Plus 45 TFSI quattro ,47891,TX,32000.0,autonation
229, 2020 Audi SQ7, Prestige 4.0 TFSI quattro ,89491,TX,6000.0,autonation
230, 2013 Audi Q7, quattro 4dr 3.0T S line Prestige ,17991,TX,105000.0,autonation
231, 2018 Audi Q5, 2.0 TFSI Premium ,32983,TX,25000.0,autonation
232, 2017 Audi Q7, 3.0 TFSI Premium ,25616,TX,115000.0,autonation
233, 2018 Audi Q3, 2.0 TFSI Premium FWD ,23997,TX,58000.0,autonation
234, 2018 Audi Q5, 2.0 TFSI Premium Plus ,34912,TX,38000.0,autonation
235, 2019 Audi Q7, Prestige 55 TFSI quattro ,55910,TX,30000.0,autonation
236, 2016 Audi Q3, FrontTrak 4dr Premium Plus ,22417,TX,66000.0,autonation
237, 2019 Audi Q5, Premium Plus 45 TFSI quattro ,39995,TX,29000.0,autonation
238, 2015 Audi Q5, quattro 4dr 3.0L TDI Premium Plus ,24491,TX,81000.0,autonation
239, 2019 Audi SQ5, Premium Plus 3.0 TFSI quattro ,53599,CO,16000.0,autonation
240, 2019 Audi Q7, Premium Plus 45 TFSI quattro ,46499,CO,13000.0,autonation
241, 2015 Audi Q7, quattro 4dr 3.0T S line Prestige ,25999,CO,94000.0,autonation
242, 2017 Audi Q5, 2.0 TFSI Premium Plus ,27998,CO,58000.0,autonation
243, 2019 Audi Q5, Premium Plus 45 TFSI quattro ,40499,CO,18000.0,autonation
244, 2016 Audi SQ5, quattro 4dr 3.0T Premium Plus ,26995,AZ,82000.0,autonation
245, 2021 Audi Q3, S line Premium Plus 45 TFSI quattro ,41462,AZ,5000.0,autonation
246, 2019 Audi Q8, Premium Plus 55 TFSI quattro ,61599,AZ,42000.0,autonation
247, 2015 Audi Q3, FrontTrak 4dr 2.0T Premium Plus ,16588,AZ,90000.0,autonation
248, 2012 Audi Q5, quattro 4dr 2.0T Premium Plus ,12491,AZ,116000.0,autonation
249, 2013 Audi Q5, quattro 4dr 2.0T Premium ,11995,AZ,133000.0,autonation
250, 2013 Audi Q5, quattro 4dr 2.0T Premium ,13598,AZ,113000.0,autonation
251, 2020 Audi Q7, Premium Plus 55 TFSI quattro ,58949,AZ,10000.0,autonation
