,year_make,model_trim,price,state,miles,source
343,2017 Audi,Q3 Prestige,29998,NC,29000.0,carmax
344,2015 Audi,Q5 Premium Plus,27998,ME,48000.0,carmax
345,2016 Audi,Q3 Premium Plus,26998,KY,50000.0,carmax
346,2018 Audi,SQ5 Premium Plus,40998,SC,41000.0,carmax
347,2017 Audi,Q7 Prestige,42998,TN,52000.0,carmax
348,2016 Audi,Q5 Premium,28998,TN,45000.0,carmax
349,2018 Audi,SQ5 Premium Plus,46998,SC,15000.0,carmax
350,2015 Audi,Q7 Premium Plus,36998,IN,33000.0,carmax
351,2017 Audi,Q5 Premium Plus,31998,KY,54000.0,carmax
352,2018 Audi,Q7 Premium Plus,40998,TN,54000.0,carmax
353,2017 Audi,Q7 Prestige,40998,TN,54000.0,carmax
354,2015 Audi,Q5 Premium Plus,29998,GA,37000.0,carmax
355,2018 Audi,Q7 Prestige,48998,GA,33000.0,carmax
356,2018 Audi,Q5 Prestige,34998,GA,52000.0,carmax
357,2017 Audi,Q7 Prestige,46998,GA,31000.0,carmax
358,2018 Audi,Q5 Prestige,40998,WI,16000.0,carmax
359,2018 Audi,Q7 Premium Plus,40998,WI,37000.0,carmax
360,2019 Audi,Q8 Premium Plus,66998,GA,9000.0,carmax
361,2015 Audi,Q5 Premium Plus,27998,GA,56000.0,carmax
362,2016 Audi,Q5 Premium Plus,28998,GA,43000.0,carmax
363,2018 Audi,SQ5 Prestige,41998,TN,53000.0,carmax
364,2017 Audi,Q7 Prestige,39998,GA,61000.0,carmax
365,2019 Audi,Q8 Prestige,68998,WI,30000.0,carmax
366,2020 Audi,Q8 Prestige,75998,TN,9000.0,carmax
367,2016 Audi,Q5 Premium,26998,AL,47000.0,carmax
368,2018 Audi,Q3 Premium,26998,FL,39000.0,carmax
369,2018 Audi,SQ5 Prestige,46998,AL,22000.0,carmax
370,2018 Audi,Q5 Premium,32998,FL,33000.0,carmax
371,2018 Audi,Q5 Prestige,35998,FL,44000.0,carmax
372,2021 Audi,Q8 Premium,69998,FL,7000.0,carmax
373,2014 Audi,Q7 Prestige S-Line,31998,TN,55000.0,carmax
374,2020 Audi,Q3 Prestige S-Line,47998,TN,5000.0,carmax
375,2017 Audi,Q3 Premium,25998,FL,43000.0,carmax
376,2017 Audi,SQ5 Premium Plus,37998,FL,29000.0,carmax
377,2015 Audi,Q5 Premium Plus,24998,FL,68000.0,carmax
378,2019 Audi,Q8 Prestige,72998,FL,13000.0,carmax
379,2015 Audi,Q5 Premium,25998,FL,53000.0,carmax
380,2015 Audi,Q5 Premium Plus,25998,MN,42000.0,carmax
381,2018 Audi,Q7 Premium Plus,42998,FL,40000.0,carmax
382,2018 Audi,Q7 Prestige,46998,FL,38000.0,carmax
383,2018 Audi,Q5 Prestige,38998,AL,29000.0,carmax
384,2018 Audi,Q3 Premium Sport,27998,KS,40000.0,carmax
385,2018 Audi,Q3 Premium,28998,FL,28000.0,carmax
386,2018 Audi,Q7 Premium Plus,44998,NE,21000.0,carmax
387,2016 Audi,Q5 Premium Plus,27998,FL,62000.0,carmax
388,2015 Audi,Q7 Premium Plus,34998,LA,38000.0,carmax
389,2019 Audi,Q8 Premium,61998,OK,33000.0,carmax
390,2018 Audi,Q3 Premium Plus Sport,29998,KS,32000.0,carmax
391,2019 Audi,Q8 Prestige,73998,TX,11000.0,carmax
392,2017 Audi,Q7 Prestige,43998,OK,50000.0,carmax
393,2014 Audi,Q5 Premium Plus,27998,OK,50000.0,carmax
394,2016 Audi,Q5 Premium Plus,29998,TX,26000.0,carmax
395,2018 Audi,SQ5 Premium Plus,41998,TX,27000.0,carmax
396,2020 Audi,Q8 Premium Plus,69998,TX,19000.0,carmax
397,2019 Audi,Q8 Prestige,69998,OR,13000.0,carmax
398,2021 Audi,e-tron Premium,69998,CA,2000.0,carmax
399,2019 Audi,Q8 Prestige,75998,TX,10000.0,carmax
400,2019 Audi,e-tron Prestige,59998,ID,20000.0,carmax
401,2021 Audi,e-tron Premium,65998,AZ,4000.0,carmax
402,2019 Audi,Q8 Premium Plus,59998,CA,46000.0,carmax
403,2019 Audi,e-tron Prestige,61998,AZ,12000.0,carmax
404,2019 Audi,Q8 Premium,61998,CA,15000.0,carmax
405,2017 Audi,Q5 Premium Plus,28998,TX,58000.0,carmax
406,2018 Audi,Q7 Prestige,53998,CA,16000.0,carmax
407,2019 Audi,Q8 Premium,56998,CA,49000.0,carmax
408,2015 Audi,Q5 Premium Plus,26998,CA,42000.0,carmax
409,2012 Audi,Q5 Prestige,23998,NV,72000.0,carmax
410,2019 Audi,Q8 Premium Plus,65998,NV,23000.0,carmax
411,2019 Audi,Q8 Premium,63998,CA,21000.0,carmax
412,2018 Audi,Q7 Prestige,43998,CA,58000.0,carmax
413,2015 Audi,Q3 Premium Plus,26998,TX,28000.0,carmax
414,2017 Audi,Q7 Prestige,40998,ID,63000.0,carmax
415,2016 Audi,Q5 Premium Plus,28998,OR,60000.0,carmax
416,2019 Audi,Q8 Premium,61998,TX,26000.0,carmax
417,2017 Audi,Q5 Premium Plus,28998,TX,68000.0,carmax
418,2017 Audi,Q7 Premium Plus,39998,CA,42000.0,carmax
419,2015 Audi,Q5 Premium Plus,27998,CA,41000.0,carmax
420,2018 Audi,Q7 Prestige,51998,TX,28000.0,carmax
421,2014 Audi,Q5 Prestige,26998,CA,63000.0,carmax
422,2015 Audi,Q7 Premium Plus,34998,WA,44000.0,carmax
423,2015 Audi,Q7 Premium Plus,34998,CA,38000.0,carmax
424,2019 Audi,Q5 Premium Plus,41998,CA,10000.0,carmax
425,2018 Audi,SQ5 Prestige,45998,CO,40000.0,carmax
426,2015 Audi,Q7 Premium Plus,31998,CA,60000.0,carmax
427,2020 Audi,Q3 Premium Plus S-Line,40998,CA,9000.0,carmax
428,2015 Audi,Q5 Premium,25998,NM,47000.0,carmax
429,2018 Audi,Q7 Premium Plus,48998,OR,23000.0,carmax
430,2016 Audi,Q5 Premium Plus,30998,CA,26000.0,carmax
431,2017 Audi,Q7 Premium,37998,CA,36000.0,carmax
432,2018 Audi,Q7 Premium Plus,39998,CA,50000.0,carmax
433,2020 Audi,Q5 Titanium Premium,42998,CA,7000.0,carmax
434,2020 Audi,Q3 Prestige S-Line,41998,CA,24000.0,carmax
435,2018 Audi,Q5 Prestige,42998,WA,19000.0,carmax
436,2017 Audi,Q5 Premium Plus,31998,AZ,40000.0,carmax
437,2018 Audi,SQ5 Premium Plus,42998,CA,35000.0,carmax
438,2016 Audi,Q5 Premium Plus,28998,CO,43000.0,carmax
439,2016 Audi,Q3 Premium Plus,25998,NV,32000.0,carmax
440,2018 Audi,SQ5 Prestige,40998,NV,54000.0,carmax
441,2018 Audi,Q7 Premium Plus,38998,CA,44000.0,carmax
442,2018 Audi,Q5 Premium Plus,38998,WA,23000.0,carmax
443,2018 Audi,Q5 Premium Plus,38998,WA,23000.0,carmax
