,year_make,model_trim,price,state,miles,source,type
241,2015 Audi,A8 L,35998,CT,56000.0,carmax,sedan
242,2016 Audi,A6 Premium Plus,29998,RI,39000.0,carmax,sedan
243,2018 Audi,A4 Premium,29998,RI,21000.0,carmax,sedan
244,2018 Audi,A6 Sport,33998,NC,28000.0,carmax,sedan
245,2020 Audi,A3 Premium Plus S-Line,35998,MA,6000.0,carmax,sedan
246,2016 Audi,A6 Premium Plus,28998,OH,58000.0,carmax,sedan
247,2017 Audi,A4 Premium,25998,MA,46000.0,carmax,sedan
248,2018 Audi,S3 Premium Plus,39998,NC,17000.0,carmax,sedan
249,2015 Audi,S8 ,58998,MA,35000.0,carmax,sedan
250,2018 Audi,A6 Sport,37998,NC,20000.0,carmax,sedan
251,2018 Audi,A3 Premium,27998,NC,18000.0,carmax,sedan
252,2018 Audi,A3 Premium Plus,32998,MA,7000.0,carmax,sedan
253,2018 Audi,A6 Premium,32998,NC,24000.0,carmax,sedan
254,2018 Audi,A6 Premium Plus,33998,NC,23000.0,carmax,sedan
255,2016 Audi,A3 Premium Plus,21998,OH,68000.0,carmax,sedan
256,2017 Audi,A4 Prestige,31998,OH,48000.0,carmax,sedan
257,2018 Audi,A3 Premium,29998,NC,8000.0,carmax,sedan
258,2018 Audi,A5 Prestige,40998,NC,15000.0,carmax,sedan
259,2018 Audi,A6 Premium Plus,33998,NC,47000.0,carmax,sedan
260,2018 Audi,A4 Prestige,32998,NC,29000.0,carmax,sedan
261,2017 Audi,A6 Premium Plus,27998,NC,74000.0,carmax,sedan
262,2018 Audi,A3 Prestige,32998,NC,16000.0,carmax,sedan
263,2016 Audi,A4 Premium Plus,24998,SC,56000.0,carmax,sedan
264,2017 Audi,A4 Premium,28998,SC,16000.0,carmax,sedan
265,2018 Audi,A4 Prestige,35998,SC,20000.0,carmax,sedan
266,2018 Audi,S5 Prestige,42998,TN,42000.0,carmax,sedan
267,2015 Audi,A6 Premium Plus,28998,TN,29000.0,carmax,sedan
268,2017 Audi,A6 Premium Plus,29998,SC,47000.0,carmax,sedan
269,2015 Audi,A4 Premium,21998,TN,46000.0,carmax,sedan
270,2019 Audi,A6 Prestige,54998,GA,16000.0,carmax,sedan
271,2016 Audi,A3 Premium,22998,TN,32000.0,carmax,sedan
272,2016 Audi,A7 Prestige,39998,GA,43000.0,carmax,sedan
