,year_make,model_trim,price,state,miles,source,type
205, 2015 Audi A8 L, 4dr Sdn 4.0T ,26995,TX,92000.0,autonation,sedan
206, 2019 Audi A4, Premium 40 TFSI ,30952,TX,16000.0,autonation,sedan
207, 2016 Audi S6, 4dr Sdn Prestige ,42995,TX,39000.0,autonation,sedan
208, 2015 Audi A3, 4dr Sdn FWD 1.8T Premium Plus ,16495,TX,88000.0,autonation,sedan
209, 2017 Audi A6, 3.0 TFSI Premium Plus quattro AWD ,32916,TX,42000.0,autonation,sedan
210, 2017 Audi A4, 2.0 TFSI Auto Premium FWD ,25908,TX,20000.0,autonation,sedan
211, 2017 Audi A4, 2.0 TFSI Auto Premium Plus quattro AWD ,28389,TX,36000.0,autonation,sedan
212, 2017 Audi A4, 2.0 TFSI Auto Premium quattro AWD ,25489,CO,60000.0,autonation,sedan
213, 2018 Audi A6, 2.0 TFSI Premium quattro AWD ,28999,CO,58000.0,autonation,sedan
214, 2014 Audi A4, 4dr Sdn Man quattro 2.0T Premium ,17999,CO,56000.0,autonation,sedan
215, 2019 Audi S4, Premium Plus 3.0 TFSI quattro ,45999,CO,12000.0,autonation,sedan
216, 2013 Audi A6, 4dr Sdn FrontTrak 2.0T Premium Plus ,17551,CO,80000.0,autonation,sedan
217, 2014 Audi A7, 4dr HB quattro 3.0 Premium Plus ,27999,CO,65000.0,autonation,sedan
218, 2007 Audi A3, 4dr HB Auto DSG S-Line quattro ,8590,CO,115000.0,autonation,sedan
219, 2020 Audi S3 Sedan, S line Premium Plus 2.0 TFSI quattro ,40930,CO,24000.0,autonation,sedan
220, 2016 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,24990,CO,50000.0,autonation,sedan
221, 2019 Audi A7, Prestige 55 TFSI quattro ,59998,AZ,40000.0,autonation,sedan
222, 2013 Audi A6, 4dr Sdn FrontTrak 2.0T Premium Plus ,13900,AZ,125000.0,autonation,sedan
223, 2018 Audi A4, 2.0 TFSI ultra Tech Premium S Tronic FWD ,26998,AZ,34000.0,autonation,sedan
224, 2012 Audi A8 L, 4dr Sdn ,13998,AZ,139000.0,autonation,sedan
225, 2020 Audi A3 Sedan, Premium Plus 40 TFSI ,31985,AZ,7000.0,autonation,sedan
226, 2020 Audi A3 Sedan, Premium Plus 40 TFSI ,33891,AZ,3000.0,autonation,sedan
227, 2016 Audi A3, 4dr Sdn quattro 2.0T Premium Plus ,22892,AZ,34000.0,autonation,sedan
